name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_profile_id_by_wallet_secure\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_profile_id_by_wallet_secure"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_profile_id_by_wallet_secure_268363aad272edeafc7e1e44d5fe6bc0
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_top_bettors\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_top_bettors"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_top_bettors_ef6fa057373646f4d324d777e1f66609
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_prediction_comments\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_prediction_comments"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_prediction_comments_27b3a8fa9ae3c07fa9ab9e23c68b5991
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.prevent_admin_modification\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""prevent_admin_modification"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_prevent_admin_modification_da14c8ed28657e273720b98f506d8686
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.check_my_admin_status\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""check_my_admin_status"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_check_my_admin_status_63acf297ab2fdfcb39b9ee1b81e649f9
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.check_wallet_admin_status\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""check_wallet_admin_status"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_check_wallet_admin_status_117194ef8b5f81415036e4139c5fbd6b
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.delete_prediction_admin\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""delete_prediction_admin"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_delete_prediction_admin_fd7e63471cf69d29408ae388a7c04f94
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_predictions_for_users\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_predictions_for_users"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_predictions_for_users_119bb241288a878e2e69a84b11daa48f
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_recent_bets\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_recent_bets"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_recent_bets_f8580f16f7e6a3aa7375b0afe062417c
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.update_prediction_admin\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""update_prediction_admin"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_update_prediction_admin_99dad63364082d8bea9d70b0cc1ef871
